Name,Line,
Paddington ,Hammersmith & City,Paddington 
Plaistow,Hammersmith & City,Plaistow
Royal Oak,Hammersmith & City,Royal Oak
Shepherd's Bush Market,Hammersmith & City,Shepherd's Bush Market
Stepney Green,Hammersmith & City,Stepney Green
Upton Park,Hammersmith & City,Upton Park
West Ham,Hammersmith & City,West Ham
Westbourne Park,Hammersmith & City,Westbourne Park
Whitechapel,Hammersmith & City,Whitechapel
Baker Street,Jubilee,Baker Street
Bermondsey,Jubilee,Bermondsey
Bond Street,Jubilee,Bond Street
Canary Wharf,Jubilee,Canary Wharf
Canons Park,Jubilee,Canons Park
Dollis Hill,Jubilee,Dollis Hill
Finchley Road,Jubilee,Finchley Road
Green Park,Jubilee,Green Park
Kilburn,Jubilee,Kilburn
Kingsbury,Jubilee,Kingsbury
London Bridge,Jubilee,London Bridge
Neasden,Jubilee,Neasden
North Greenwich,Jubilee,North Greenwich
Queensbury,Jubilee,Queensbury
Southwark,Jubilee,Southwark
St.John's Wood,Jubilee,St.John's Wood
Stanmore,Jubilee,Stanmore
Stratford,Jubilee,Stratford
Stratford,Jubilee,Stratford
Surrey Quays,Jubilee,Surrey Quays
Swiss Cottage,Jubilee,Swiss Cottage
Wembley Park,Jubilee,Wembley Park
West Ham,Jubilee,West Ham
West Hampstead,Jubilee,West Hampstead
West Hampstead,Jubilee,West Hampstead
Westminster,Jubilee,Westminster
Willesden Green,Jubilee,Willesden Green
Aldgate,Metropolitan,Aldgate
Amersham,Metropolitan,Amersham
Barbican,Metropolitan,Barbican
Chalfont & Latimer,Metropolitan,Chalfont & Latimer
Chesham,Metropolitan,Chesham
Chorleywood,Metropolitan,Chorleywood
Croxley,Metropolitan,Croxley
Eastcote,Metropolitan,Eastcote
Euston Square,Metropolitan,Euston Square
Farringdon,Metropolitan,Farringdon
Farringdon,Metropolitan,Farringdon
Finchley Road,Metropolitan,Finchley Road
Great Portland Street,Metropolitan,Great Portland Street
Harrow-on-the-Hill,Metropolitan,Harrow-on-the-Hill
Hillingdon,Metropolitan,Hillingdon
Ickenham,Metropolitan,Ickenham
King's Cross St.Pancras,Metropolitan,King's Cross St.Pancras
Moor Park,Metropolitan,Moor Park
Moorgate,Metropolitan,Moorgate
North Harrow,Metropolitan,North Harrow
Northwick Park,Metropolitan,Northwick Park
Northwood,Metropolitan,Northwood
Northwood Hills,Metropolitan,Northwood Hills
Pinner,Metropolitan,Pinner
Preston Road,Metropolitan,Preston Road
Rayners Lane,Metropolitan,Rayners Lane
Rickmansworth,Metropolitan,Rickmansworth
Ruislip,Metropolitan,Ruislip
Ruislip Manor,Metropolitan,Ruislip Manor
Uxbridge,Metropolitan,Uxbridge
Watford,Metropolitan,Watford
Wembley Park,Metropolitan,Wembley Park
West Harrow,Metropolitan,West Harrow
Angel,Northern,Angel
Archway,Northern,Archway
Balham,Northern,Balham
Belsize Park,Northern,Belsize Park
Borough,Northern,Borough
Brent Cross,Northern,Brent Cross
Burnt Oak,Northern,Burnt Oak
Camden Town,Northern,Camden Town
Chalk Farm,Northern,Chalk Farm
Charing Cross,Northern,Charing Cross
Clapham Common,Northern,Clapham Common
Clapham North,Northern,Clapham North
Clapham South,Northern,Clapham South
Colindale,Northern,Colindale
Colliers Wood,Northern,Colliers Wood
East Finchley,Northern,East Finchley
Edgware,Northern,Edgware
Elephant & Castle,Northern,Elephant & Castle
Embankment,Northern,Embankment
Euston,Northern,Euston
Finchley Central,Northern,Finchley Central
Golders Green,Northern,Golders Green
Goodge Street,Northern,Goodge Street
Hampstead,Northern,Hampstead
Hendon Central,Northern,Hendon Central
High Barnet,Northern,High Barnet
Highgate,Northern,Highgate
Kennington,Northern,Kennington
Kentish Town,Northern,Kentish Town
King's Cross St.Pancras,Northern,King's Cross St.Pancras
Leicester Square,Northern,Leicester Square
London Bridge,Northern,London Bridge
Mill Hill East,Northern,Mill Hill East
Moorgate,Northern,Moorgate
Morden,Northern,Morden
Mornington Crescent,Northern,Mornington Crescent
Old Street,Northern,Old Street
Oval,Northern,Oval
South Wimbledon,Northern,South Wimbledon
Stockwell,Northern,Stockwell
Tooting Bec,Northern,Tooting Bec
Tooting Broadway,Northern,Tooting Broadway
Tottenham Court Road,Northern,Tottenham Court Road
Tottenham Court Road,Northern,Tottenham Court Road
Totteridge & Whetstone,Northern,Totteridge & Whetstone
Tufnell Park,Northern,Tufnell Park
Warren Street,Northern,Warren Street
Waterloo,Northern,Waterloo
West Finchley,Northern,West Finchley
Woodside Park,Northern,Woodside Park
Highbury & Islington,Northern City,Highbury & Islington
Moorgate,Northern City,Moorgate
Old Street,Northern City,Old Street
Acton Town,Piccadilly,Acton Town
Alperton,Piccadilly,Alperton
Arnos Grove,Piccadilly,Arnos Grove
Arsenal,Piccadilly,Arsenal
Barons Court,Piccadilly,Barons Court
Boston Manor,Piccadilly,Boston Manor
Bounds Green,Piccadilly,Bounds Green
Caledonian Road,Piccadilly,Caledonian Road
Cockfosters,Piccadilly,Cockfosters
Covent Garden,Piccadilly,Covent Garden
Ealing Common,Piccadilly,Ealing Common
Earl's Court,Piccadilly,Earl's Court
Eastcote,Piccadilly,Eastcote
Finsbury Park,Piccadilly,Finsbury Park
Gloucester Road,Piccadilly,Gloucester Road
Green Park,Piccadilly,Green Park
Hammersmith,Piccadilly,#N/A
Hatton Cross,Piccadilly,Hatton Cross
Heathrow Terminal 4,Piccadilly,Heathrow Terminal 4
Heathrow Terminals 1-2-3,Piccadilly,Heathrow Terminals 1-2-3
Hillingdon,Piccadilly,Hillingdon
Holborn,Piccadilly,Holborn
Holloway Road,Piccadilly,Holloway Road
Hounslow Central,Piccadilly,Hounslow Central
Hounslow East,Piccadilly,Hounslow East
Hounslow West,Piccadilly,Hounslow West
Hyde Park Corner,Piccadilly,Hyde Park Corner
Ickenham,Piccadilly,Ickenham
King's Cross St.Pancras,Piccadilly,King's Cross St.Pancras
Knightsbridge,Piccadilly,Knightsbridge
Leicester Square,Piccadilly,Leicester Square
Manor House,Piccadilly,Manor House
North Ealing,Piccadilly,North Ealing
Northfields,Piccadilly,Northfields
Oakwood,Piccadilly,Oakwood
Osterley,Piccadilly,Osterley
Park Royal,Piccadilly,Park Royal
Piccadilly Circus,Piccadilly,Piccadilly Circus
Rayners Lane,Piccadilly,Rayners Lane
Ruislip,Piccadilly,Ruislip
Ruislip Manor,Piccadilly,Ruislip Manor
Russell Square,Piccadilly,Russell Square
South Ealing,Piccadilly,South Ealing
South Harrow,Piccadilly,South Harrow
South Kensington,Piccadilly,South Kensington
Southgate,Piccadilly,Southgate
Sudbury Hill,Piccadilly,Sudbury Hill
Sudbury Town,Piccadilly,Sudbury Town
Turnpike Lane,Piccadilly,Turnpike Lane
Uxbridge,Piccadilly,Uxbridge
Wood Green,Piccadilly,Wood Green
Blackhorse Road,Victoria,Blackhorse Road
Brixton,Victoria,Brixton
Finsbury Park,Victoria,Finsbury Park
Green Park,Victoria,Green Park
Highbury & Islington,Victoria,Highbury & Islington
King's Cross St.Pancras,Victoria,King's Cross St.Pancras
Oxford Circus,Victoria,Oxford Circus
Pimlico,Victoria,Pimlico
Seven Sisters,Victoria,Seven Sisters
Stockwell,Victoria,Stockwell
Tottenham Hale,Victoria,Tottenham Hale
Vauxhall,Victoria,Vauxhall
Victoria,Victoria,Victoria
Walthamstow Central,Victoria,Walthamstow Central
Warren Street,Victoria,Warren Street
Bank,Waterloo & City,Bank
Waterloo,Waterloo & City,Waterloo
