name,zone,total_lines
West Harrow,5,1
West India Quay,2,1
West Kensington,2,1
West Ruislip,6,1
West Silvertown,3,1
Westbourne Park,2,1
Westferry,2,1
Westminster,1,3
White City,2,1
Whitechapel,2,3
Willesden Green,2.5,1
Willesden Junction,3,1
Wimbledon,3,1
Wimbledon Park,3,1
Wood Green,3,1
Woodford,4,1
Woodside Park,4,1
